policy,model,n,deaths,selected,tp,fp,fn,tn,precision,recall,f1,cutoff,boundary_tie_size,boundary_tie_selected,tie_recall_min,tie_recall_max
validation_f1,LR,402,8,8,2,6,6,388,0.25,0.25,0.25,0.7000000000000001,0,0,,
validation_f1,RF,402,8,15,2,13,6,381,0.13333333333333333,0.25,0.17391304347826086,0.13,0,0,,
validation_f1,NN,402,8,9,2,7,6,387,0.2222222222222222,0.25,0.23529411764705882,0.36000000000000004,0,0,,
top_5_percent,LR,402,8,21,2,19,6,375,0.09523809523809523,0.25,0.13793103448275862,0.532741086139183,1,1,0.25,0.25
top_5_percent,RF,402,8,21,3,18,5,376,0.14285714285714285,0.375,0.20689655172413793,0.11894466868976454,1,1,0.375,0.375
top_5_percent,NN,402,8,21,3,18,5,376,0.14285714285714285,0.375,0.20689655172413793,0.2704998254776001,1,1,0.375,0.375
top_10_percent,LR,402,8,41,4,37,4,357,0.0975609756097561,0.5,0.16326530612244897,0.45893057287612576,1,1,0.5,0.5
top_10_percent,RF,402,8,41,4,37,4,357,0.0975609756097561,0.5,0.16326530612244897,0.0885140332747724,1,1,0.5,0.5
top_10_percent,NN,402,8,41,5,36,3,358,0.12195121951219512,0.625,0.20408163265306123,0.1938331574201584,1,1,0.625,0.625
top_20_percent,LR,402,8,81,5,76,3,318,0.06172839506172839,0.625,0.11235955056179775,0.40102070528992934,1,1,0.625,0.625
top_20_percent,RF,402,8,81,5,76,3,318,0.06172839506172839,0.625,0.11235955056179775,0.051657164627192644,1,1,0.625,0.625
top_20_percent,NN,402,8,81,5,76,3,318,0.06172839506172839,0.625,0.11235955056179775,0.10791419446468353,1,1,0.625,0.625
