feature,coef,abs_coef
type.II.respiratory.failure_NonTypeII,-0.7091777971842125,0.7091777971842125
eye.opening,-0.22991589505560034,0.22991589505560034
Inorganic.Phosphorus,0.2216504585663108,0.2216504585663108
liver.disease,0.1530200015113414,0.1530200015113414
hydroxybutyrate.dehydrogenase,0.14567967616707087,0.14567967616707087
cystatin,0.13824710837591409,0.13824710837591409
D.dimer,0.1323787134756372,0.1323787134756372
movement,-0.10108752455692863,0.10108752455692863
thrombin.time,0.09666976257291385,0.09666976257291385
fio2,0.0883777049300426,0.0883777049300426
white.globulin.ratio,-0.08408573149063438,0.08408573149063438
congestive.heart.failure,-0.05557515412838447,0.05557515412838447
oxyhemoglobin,-0.05204620441534331,0.05204620441534331
high.sensitivity.protein,0.041385708791142506,0.041385708791142506
acute.renal.failure,0.03413452683057804,0.03413452683057804
glutamic.oxaloacetic.transaminase,0.022868232929700825,0.022868232929700825
pH,-0.012881142080968041,0.012881142080968041
brain.natriuretic.peptide,0.007155830798063346,0.007155830798063346
total.bilirubin,0.0,0.0
glutamic.pyruvic.transaminase,0.0,0.0
reduced.hemoglobin,0.0,0.0
potassium.ion,0.0,0.0
chloride.ion,0.0,0.0
sodium.ion,0.0,0.0
glucose.blood.gas,0.0,0.0
hematocrit.blood.gas,0.0,0.0
lactate,0.0,0.0
measured.residual.base,0.0,0.0
measured.bicarbonate,0.0,0.0
carboxyhemoglobin,0.0,0.0
oxygen.saturation,0.0,0.0
partial.oxygen.pressure,0.0,0.0
glutamic.oxaliplatin,0.0,0.0
total.carbon.dioxide,0.0,0.0
methemoglobin,0.0,0.0
indirect.bilirubin,0.0,0.0
total.bile.acid,0.0,0.0
partial.pressure.of.carbon.dioxide,0.0,0.0
alkaline.phosphatase,0.0,0.0
standard.bicarbonate,0.0,0.0
anion.gap,0.0,0.0
globulin,0.0,0.0
high.density.lipoprotein.cholesterol,0.0,0.0
triglyceride,0.0,0.0
low.density.lipoprotein.cholesterol,0.0,0.0
cholesterol,0.0,0.0
direct.bilirubin,0.0,0.0
total.protein,0.0,0.0
standard.residual.base,0.0,0.0
visit.times,0.0,0.0
free.calcium,0.0,0.0
NYHA.cardiac.function.classification_IV,0.0,0.0
Killip.grade_II,0.0,0.0
Killip.grade_III,0.0,0.0
Killip.grade_IV,0.0,0.0
type.II.respiratory.failure_TypeII,0.0,0.0
consciousness_Clear,0.0,0.0
