feature,importance
hydroxybutyrate.dehydrogenase,0.028657208803329483
eye.opening,0.018785047723250545
GCS,0.018449314783724826
lactate.dehydrogenase,0.018406212532739687
high.sensitivity.troponin,0.018124109684826098
D.dimer,0.018110239540827914
glutamic.oxaloacetic.transaminase,0.01752212349899325
carbon.dioxide.binding.capacity,0.01732971850015065
movement,0.0171566477452114
urea,0.016835058001762906
neutrophil.count,0.01677029672708727
consciousness_Clear,0.015707069368895526
potassium,0.015505493448309147
cystatin,0.015348507867661886
lactate,0.01479215488041543
anion.gap,0.014775619255504741
fio2,0.01339359150820476
alkaline.phosphatase,0.013360657458742337
Killip.grade_IV,0.012899204652622363
creatinine.enzymatic.method,0.012453735309910771
white.blood.cell,0.012295210096050634
prothrombin.activity,0.012151939029151106
creatine.kinase,0.011884813617301416
high.sensitivity.protein,0.011616475431499046
verbal.response,0.01107352384548925
neutrophil.ratio,0.011069726361405277
thrombin.time,0.010978842446675085
consciousness_Nonresponsive,0.010765850319603084
brain.natriuretic.peptide,0.010288343314066525
glutamic.pyruvic.transaminase,0.010166391910723225
prothrombin.time.ratio,0.010065317709176371
hydroxybutyrate.dehydrogenase.to.lactate.dehydrogenase,0.01001484371293459
glomerular.filtration.rate,0.009965348058538584
activated.partial.thromboplastin.time,0.009846397954310396
albumin,0.00983140706887377
eosinophil.ratio,0.009830282432714848
potassium.ion,0.009610581349489791
mean.hemoglobin.concentration,0.009531427583604904
globulin,0.009486934592437038
sodium,0.009464460663009109
white.globulin.ratio,0.009457866718916411
creatine.kinase.isoenzyme,0.009193651318698915
uric.acid,0.009174414623303834
standard.bicarbonate,0.009153179456168158
basophil.ratio,0.00905177907691308
NYHA.cardiac.function.classification_III,0.00903756933628871
international.normalized.ratio,0.009006412478777367
eosinophil.count,0.008825690638970419
pH,0.008538966657590182
chloride,0.007960250291254757
creatine.kinase.isoenzyme.to.creatine.kinase,0.007938645304914692
Inorganic.Phosphorus,0.007767881884972894
calcium,0.007701179840656642
fibrinogen,0.007400094191415373
total.bilirubin,0.007329997221967422
hematocrit,0.006946849695307313
total.protein,0.0069058521879524284
measured.residual.base,0.0067343339428409515
glutamyltranspeptidase,0.006662011423075436
mean.corpuscular.volume,0.006564812338849126
standard.residual.base,0.006532826660182107
NYHA.cardiac.function.classification_IV,0.00648258576434655
platelet,0.006426721778827616
measured.bicarbonate,0.006346426576224789
